neighbourhood,OBJECTID,Hood_ID,assault,auto_theft,break_and_enter,robbery,theft_over,homicide,shooting,violent_crime,theft,pop,pop_density,n_children,n_youth,n_seniors,perc_low_income,n_lat_american,Immigrants,n_aboriginal_identity,n_visible_minority,south_asian,Chinese,Black,Filipino,Arab,southeast_asian,west_asian,Korean,Japanese,not_visible_minority,unemp_rate,n_female,n_postsecondary,n_asian,perc_children,perc_youth,perc_seniors,perc_lat_american,perc_immigrants,perc_aboriginal,perc_visible_minority,perc_south_asian,perc_chinese,perc_black,perc_Filipino,perc_Arab,perc_southeast_asian,perc_west_asian,perc_Korean,perc_Japanese,perc_not_visible_minority,perc_female,perc_postsecondary,perc_asian
Etobicoke West Mall,33,013,47,15,14,4,0,1,2,50,19,11848,6582,1695,1460,2060,14.7,445,5805,110,4520,1165,335,790,635,170,155,290,295,30,6950,7.9,6245,4835,2905,14.306212018906145,12.322754895340985,17.38690074274139,3.7559081701553003,48.99561107359892,0.9284267386900743,38.149898717083055,9.832883187035787,2.8274814314652263,6.667792032410532,5.359554355165429,1.4348413234301147,1.3082376772451048,2.447670492910196,2.4898717083051993,0.25320729237002026,58.65968939905469,52.70931802835922,40.808575286968264,24.51890614449696
Flemingdon Park,26,044,156,4,14,24,3,0,8,164,31,21933,9026,4385,3060,2980,27.2,390,14030,85,17220,7650,1015,2130,2270,370,230,2190,250,45,4695,10.6,11375,8200,13650,19.992705056307848,13.951579811243331,13.586832626635664,1.7781425249623852,63.96753750056992,0.3875438836456481,78.51183148680072,34.87894952810833,4.627729904709798,9.711393790179182,10.349701363242602,1.6869557288104682,1.0486481557470477,9.984954178634933,1.139834951898965,0.2051702913418137,21.406100396662563,51.86249031140291,37.38658642228606,62.234988373683485
Forest Hill North,34,102,31,7,19,9,2,0,0,31,18,12806,8054,2060,1500,2135,13.3,420,4975,90,3570,170,265,500,1595,65,20,165,115,55,9100,7.4,7025,7195,2385,16.086209589255038,11.713259409651727,16.671872559737622,3.2797126347024834,38.848977042011555,0.7027955645791035,27.87755739497111,1.3275027330938622,2.069342495705138,3.904419803217242,12.455099172263001,0.5075745744182415,0.15617679212868968,1.28845853506169,0.8980165547399657,0.4294861783538966,71.06044041855381,54.85709823520225,56.18460096829612,18.624082461346244
Forest Hill South,55,101,10,9,29,2,5,0,0,10,16,10732,4380,1365,1355,2260,9.8,140,2755,75,1775,245,460,205,335,40,75,90,45,35,8820,5.6,5840,6845,1285,12.718971300782705,12.625792023853895,21.058516585911295,1.3045098770033545,25.67089079388744,0.6988445769660827,16.539321654863958,2.2828922847558704,4.286246738725308,1.9101751770406263,3.1215057771151695,0.37271710771524413,0.6988445769660827,0.8386134923592994,0.4193067461796497,0.32612746925083863,82.18412225121133,54.416697726425646,63.781215057771156,11.973537085352218
Glenfield-Jane Heights,35,025,301,62,30,66,9,1,21,323,137,30491,5864,5790,4520,5005,20.9,3680,17790,145,23155,2150,1170,7360,1515,345,3985,425,10,10,7065,11.5,16270,6260,9265,18.98920993079925,14.824046439933095,16.414679741563084,12.069135154635795,58.34508543504641,0.47555016234298647,75.94044144173691,7.051261027844282,3.8371978616640976,24.13827030927159,4.968679282411204,1.1314814207471058,13.069430323702075,1.3938539241087533,0.03279656292020596,0.03279656292020596,23.17077170312551,53.3600078711751,20.530648388048935,30.38601554557082
Greenwood-Coxwell,36,065,96,13,62,12,7,1,2,99,32,14417,8582,2460,1305,1640,17.6,205,4385,350,5625,1070,2090,940,300,80,190,85,85,125,8755,7.2,7400,6840,3945,17.06318929042103,9.051813830894083,11.375459526947354,1.4219324408684193,30.415481722965943,2.427689533189984,39.0164389262676,7.421793715752237,14.496774641048763,6.520080460567386,2.080876742734272,0.5549004647291392,1.3178886037317057,0.5895817437747104,0.5895817437747104,0.8670319761392801,60.72691960879517,51.32829298744538,47.4439897343414,27.363529166955676
Guildwood,37,140,44,4,18,8,1,0,0,44,13,9917,2673,1295,1065,2635,6.7,120,3130,80,2870,815,275,625,490,30,70,45,45,100,6785,7.9,5305,4540,1840,13.05838459211455,10.73913481899768,26.57053544418675,1.2100433598870626,31.561964303720885,0.8066955732580418,28.94020369063225,8.2182111525663,2.7730160330745184,6.302309166078452,4.941010386205505,0.30251083997176564,0.7058586266007866,0.45376625995764847,0.45376625995764847,1.0083694665725522,68.41786830694765,53.4940002016739,45.77997378239387,18.55399818493496
Henry Farm,56,053,67,10,12,4,1,0,0,67,15,15723,6047,2505,2330,1460,25.4,365,9525,40,12030,3365,3080,810,1200,805,115,1255,445,50,3680,10.3,8035,8800,9510,15.932074031673347,14.819054887744068,9.2857597150671,2.321439928766775,60.580041976722,0.254404375755263,76.51211600839535,21.4017681104115,19.58913693315525,5.151688609044076,7.632131272657889,5.119888062074668,0.7314125802963811,7.981937289321377,2.830248680277301,0.3180054696940787,23.405202569484196,51.10347897983846,55.968962666157864,60.48464033581378
High Park North,70,088,103,7,28,30,2,0,0,103,39,22162,11726,2850,1890,3180,15.1,690,7670,210,5185,950,830,755,380,225,185,220,380,175,16640,7.1,11740,13615,3120,12.85985019402581,8.528111181301327,14.34888547964985,3.1134374153957225,34.60878982041332,0.9475679090334808,23.395902896850465,4.286616731341937,3.745149354751376,3.406732244382276,1.7146466925367747,1.0152513311073008,0.834762205577114,0.9926901904160275,1.7146466925367747,0.7896399241945672,75.08347622055771,52.97355834310983,61.433986102337336,14.078151791354571
High Park-Swansea,71,087,86,10,32,14,5,0,5,91,29,23925,4893,3540,2125,3800,10.4,475,6565,240,4465,800,740,855,325,150,240,85,270,150,18885,6,12820,14280,2610,14.796238244514107,8.881922675026123,15.882967607105538,1.9853709508881923,27.439916405433646,1.0031347962382446,18.66248693834901,3.343782654127482,3.0929989550679204,3.5736677115987465,1.3584117032392893,0.6269592476489028,1.0031347962382446,0.3552769070010449,1.128526645768025,0.6269592476489028,78.93416927899686,53.584117032392896,59.686520376175544,10.909090909090908
Highland Creek,72,134,73,8,35,11,1,0,0,73,20,12494,2403,1545,1925,2395,9.9,205,7015,65,9290,4515,955,1550,805,85,85,100,130,35,3185,8.5,6295,5540,6625,12.365935649111574,15.407395549863933,19.16920121658396,1.640787578037458,56.1469505362574,0.5202497198655355,74.35569073155115,36.1373459260445,7.643668961101328,12.405954858331999,6.443092684488555,0.6803265567472387,0.6803265567472387,0.800384184408516,1.040499439731071,0.28013446454298063,25.49223627341124,50.384184408516084,44.341283816231794,53.02545221706419
Hillcrest Village,62,048,44,23,34,16,2,0,0,44,41,16934,3148,2115,2170,4305,19.1,220,11285,30,12785,1525,8225,620,305,180,90,650,650,60,4130,8.3,8985,9175,11505,12.489665761190505,12.814456123774654,25.422227471359392,1.299161450336601,66.6410771229479,0.17715837959135466,75.49899610251565,9.00555096256053,48.57092240462974,3.6612731782213297,1.8011101925121058,1.062950277548128,0.531475138774064,3.838431557812685,3.838431557812685,0.35431675918270933,24.38880359040983,53.05893468761072,54.180937758355974,67.94023857328452
Humber Heights-Westmount,59,008,31,17,23,11,4,1,6,38,32,10948,3981,1450,1140,3045,10.8,485,4645,35,2745,325,100,1150,170,50,25,60,135,0,7365,7.4,6035,4285,815,13.244428206065034,10.41286079649251,27.813299232736572,4.430032882718304,42.42784070149799,0.319693094629156,25.073072707343808,2.968578735842163,0.9134088417975886,10.504201680672269,1.5527950310559007,0.4567044208987943,0.22835221044939716,0.5480453050785532,1.2331019364267446,0,67.2725611983924,55.12422360248447,39.13956887102667,7.444282060650346
Humber Summit,20,021,124,62,41,24,18,0,15,139,104,12416,1570,2155,1720,2380,16,895,7280,15,8140,3590,135,1835,345,205,440,255,45,0,4265,9.6,6375,3150,4810,17.356636597938145,13.853092783505156,19.16881443298969,7.208440721649484,58.634020618556704,0.1208118556701031,65.56056701030928,28.914304123711343,1.0873067010309279,14.779317010309278,2.778672680412371,1.6510953608247423,3.5438144329896906,2.0538015463917527,0.36243556701030927,0,34.350837628865975,51.345038659793815,25.370489690721648,38.740335051546396
Humbermede,21,022,111,45,24,23,1,1,4,116,69,15545,3565,2945,2225,2160,18.4,1830,9440,90,11970,3275,375,3440,880,155,1085,145,65,35,3565,10.2,8075,4315,5860,18.94499839176584,14.313284014152462,13.89514313284014,11.772274043100674,60.72692183981988,0.5789642972016726,77.00225152782245,21.067867481505306,2.4123512383403023,22.12930202637504,5.660984239305243,0.9971051785139916,6.979736249597941,0.9327758121582503,0.418140881312319,0.2251527822450949,22.93341910582181,51.94596333226118,27.758121582502408,37.69700868446446
Humewood-Cedarvale,11,106,51,17,26,6,5,0,0,51,28,14365,7682,2165,1610,1940,14.5,530,4660,160,4095,320,295,710,1435,115,80,55,150,120,10125,7.1,7735,8340,2455,15.071353985381133,11.20779672815872,13.505046989209884,3.689523146536721,32.439958231813435,1.1138183083884443,28.50678733031674,2.2276366167768886,2.053602506091194,4.94256874347372,9.989557953358858,0.8005569091541943,0.5569091541942222,0.38287504350852763,1.0442046641141665,0.8353637312913331,70.48381482770623,53.84615384615385,58.05777932474765,17.09014966933519
Ionview,28,125,105,5,17,9,4,0,0,105,18,13641,7031,2310,1645,1890,18.6,225,7795,120,9950,3730,600,1705,2400,235,135,175,35,10,3660,8.8,7155,5070,7085,16.934242357598418,12.059233194047357,13.85528920167143,1.6494391906751706,57.14390440583534,0.8797009016934242,72.94186643207976,27.344036360970602,4.398504508467122,12.49908364489407,17.594018033868487,1.7227475991496224,0.9896635144051023,1.2828971483029104,0.25657942966058206,0.07330840847445201,26.830877501649443,52.452166263470424,37.16736309654717,51.93900740414925
Islington-City Centre West,12,014,214,133,105,40,37,0,5,219,210,43965,2712,5820,4695,7405,13,1330,19590,250,16035,3525,1875,3055,1675,680,490,530,1620,195,27195,7.3,23060,22850,9910,13.237802797679974,10.678949164107813,16.842943250312747,3.0251336290230864,44.55817127260321,0.5686341407938132,36.472193790515185,8.017741385192767,4.264756055953599,6.9487092005003985,3.8098487433185486,1.546684862959172,1.114522915955874,1.205504378482884,3.68474923234391,0.44353462981917435,61.85602183555101,52.45081314682134,51.97316046855454,22.54065734106676
Junction Area,29,090,105,20,33,13,4,0,1,106,37,14366,5442,2190,1465,1500,13.2,490,4550,215,4160,525,885,550,615,30,395,35,70,115,9925,5.6,7355,7305,2640,15.244326882918,10.19768898788807,10.44131978282055,3.410831129054712,31.672003341222332,1.4965891688709452,28.95726019768899,3.654461923987192,6.160378671864124,3.828483920367534,4.280941110956425,0.20882639565641095,2.749547542809411,0.24363079493247947,0.48726158986495893,0.8005011833495754,69.08673256299596,51.19727133509676,50.849227342336064,18.376722817764165
Keelesdale-Eglinton West,48,110,55,15,14,23,0,0,2,57,38,11058,6467,1610,1430,1785,14.9,910,6185,100,4700,915,160,1195,760,25,335,75,20,40,6350,8.6,5695,2580,2305,14.559594863447279,12.931814071260625,16.142159522517634,8.229336227165852,55.93235666485802,0.9043226623259178,42.50316512931814,8.274552360282149,1.4469162597214686,10.80665581479472,6.872852233676976,0.22608066558147946,3.029480918791825,0.6782419967444384,0.18086453246518358,0.36172906493036716,57.42448905769578,51.50117561946102,23.33152468800868,20.844637366612407
Kennedy Park,44,124,212,12,46,27,5,0,2,214,44,17123,4770,2775,2175,2550,22.1,250,9465,310,11885,4165,1035,2130,2590,165,240,175,50,75,5215,9.1,8775,6125,8330,16.206272265374057,12.702213397185073,14.892250189803189,1.4600245284120774,55.276528645681246,1.810430415230976,69.40956608071016,24.32400864334521,6.044501547626,12.439408982070898,15.12585411434912,0.963616188751971,1.4016235472755942,1.0220171698884541,0.2920049056824155,0.43800735852362316,30.456111662675934,51.24686094726392,35.77060094609589,48.64801728669042
Kensington-Chinatown,52,078,377,31,81,62,20,5,5,387,113,17945,11806,1315,3350,2705,34.9,315,7615,140,10520,760,6075,880,445,300,585,195,330,220,6940,8.2,9165,8630,8610,7.3279465032042355,18.668152688771244,15.07383672332126,1.7553636110337139,42.43521872387851,0.780161604903873,58.623572025633884,4.235162998049596,33.85344106993591,4.9038729451100584,2.479799387015882,1.6717748676511563,3.2599609919197547,1.0866536639732516,1.838952354416272,1.2259682362775146,38.673725271663415,51.072722206742824,48.0913903594316,47.97993870158819
Kingsview Village-The Westway,45,006,128,42,34,27,5,2,14,144,74,22000,4356,4240,3020,3585,19.7,980,11425,65,13130,3630,410,5340,685,275,270,535,210,35,8835,9.9,11405,7175,5775,19.272727272727273,13.727272727272727,16.295454545454547,4.454545454545455,51.93181818181818,0.29545454545454547,59.68181818181818,16.5,1.8636363636363635,24.272727272727273,3.1136363636363638,1.25,1.2272727272727273,2.4318181818181817,0.9545454545454546,0.1590909090909091,40.159090909090914,51.84090909090909,32.61363636363636,26.25
Kingsway South,53,015,29,9,27,13,2,0,0,29,24,9271,3593,1580,1100,1995,4.1,55,1960,25,1100,205,300,80,110,20,25,40,135,45,8060,7.5,4945,5570,860,17.04239024916406,11.864955236759789,21.518714270305253,0.5932477618379894,21.14119296731744,0.2696580735627225,11.864955236759789,2.211196203214324,3.2358968827526695,0.8629058354007119,1.1864955236759789,0.21572645885017797,0.2696580735627225,0.43145291770035593,1.4561535972387014,0.48538453241290047,86.93776291662172,53.33836695070651,60.07981878977456,9.276237730557654
L'Amoreaux,84,117,173,27,50,38,4,2,7,182,69,43993,6144,6120,5730,8990,19.5,415,28325,155,33540,7240,16165,3625,2495,990,280,790,195,145,9945,10.9,23375,17375,27310,13.91130407110222,13.02479939990453,20.435069215557018,0.9433318937103631,64.38524310685791,0.35232877957856934,76.2394017230014,16.457163639669947,36.74448207669402,8.239947264337507,5.671356806764712,2.25035801150183,0.6364648921419316,1.79574023140045,0.4432523355988453,0.3295978905735003,22.605869115541108,53.13345304934876,39.494919646307366,62.07805787284341
Lambton Baby Point,93,114,20,1,9,5,2,0,0,20,8,7985,4697,1695,905,1025,15.1,150,2410,115,1950,270,175,835,170,40,35,55,50,10,6030,7.6,4240,3955,765,21.227301189730746,11.333750782717596,12.836568566061365,1.878522229179712,30.181590482154043,1.440200375704446,24.420788979336255,3.3813400125234816,2.1916092673763305,10.457107075767064,2.128991859737007,0.5009392611145899,0.4383218534752661,0.6887914840325611,0.6261740763932373,0.12523481527864747,75.51659361302441,53.09956167814652,49.53036944270507,9.580463368816531
Lansing-Westgate,3,038,67,26,41,6,5,0,1,68,37,16164,3038,2420,2105,2160,15.5,240,7075,60,6930,1005,1740,405,1045,185,90,975,875,70,9140,7.2,8480,9565,5800,14.971541697599605,13.022766641920317,13.3630289532294,1.4847809948032664,43.770106409304624,0.3711952487008166,42.87305122494432,6.2175204157386785,10.764662212323682,2.505567928730512,6.464983914872556,1.1445186834941845,0.5567928730512249,6.03192279138827,5.413264043553576,0.43306112348428605,56.545409552091066,52.46226181638208,59.17470923038852,35.882207374412275
Lawrence Park North,128,105,22,13,27,4,3,0,0,22,20,14607,6407,3280,1670,1935,6.1,100,3340,50,3110,355,1195,220,260,20,115,185,300,135,11455,6.4,7530,8400,2545,22.45498733483946,11.432874649140823,13.247073321010475,0.6846032724036422,22.865749298281646,0.3423016362018211,21.29116177175327,2.4303416170329295,8.181009105223524,1.5061271992880125,1.7799685082494694,0.1369206544807284,0.7872937632641883,1.266516053946738,2.0538098172109263,0.9242144177449169,78.4213048538372,51.55062641199425,57.50667488190594,17.42315328267269
Lawrence Park South,120,103,19,20,44,2,1,0,0,19,23,15179,4685,2845,2095,2235,6.8,110,3180,70,2560,315,865,240,295,30,45,245,125,60,12560,7.5,8005,9280,1950,18.74300019764148,13.801963238685024,14.724290137690229,0.7246854206469464,20.94999670597536,0.46116344950260224,16.865406153238027,2.07523552276171,5.698662625996443,1.581131826866065,1.9434745371895383,0.19764147835825813,0.29646221753738716,1.6140720732591078,0.8235061598260756,0.39528295671651625,82.74589893932406,52.737334475261875,61.13709730548784,12.846696093286777
Leaside-Bennington,138,056,38,4,33,9,3,0,0,38,16,16828,3596,3285,2175,2550,5.9,140,3375,155,2935,450,1025,280,225,75,85,160,200,75,13710,6.9,8825,9670,2220,19.521036367958164,12.924887092940338,15.153315902067982,0.8319467554076538,20.0558592821488,0.9210839077727597,17.44116947943903,2.674114570953173,6.091038744948895,1.6638935108153077,1.3370572854765865,0.4456857618255289,0.5051105300689327,0.9507962918944617,1.1884953648680772,0.4456857618255289,81.47135726170667,52.4423579748039,57.463750891371525,13.192298550035655
Little Portugal,132,084,110,12,40,9,4,2,0,112,25,15559,12859,1400,1605,1855,16.7,455,4835,250,4265,445,1435,640,190,55,325,85,180,120,10790,6.4,7925,8065,2780,8.998007584034964,10.315572980268655,11.922360048846327,2.924352464811363,31.07526190629218,1.6067870685776722,27.41178738993509,2.860080982068256,9.222957773635839,4.113374895558841,1.2211581721190308,0.3534931550870879,2.0888231891509736,0.5463076033164085,1.156886689375924,0.7712577929172826,69.34892987981233,50.935150073912205,51.8349508323157,17.867472202583716
Long Branch,122,019,60,13,28,7,0,0,0,60,20,10084,4584,1335,1130,1405,15.1,255,3445,160,2305,330,200,470,410,55,125,105,15,20,7760,7.1,5080,4615,1205,13.238794129313764,11.20587068623562,13.932963109877033,2.528758429194764,34.16303054343515,1.586671955573185,22.8579928599762,3.2725109083696946,1.9833399444664817,4.660848869496231,4.0658468861562875,0.5454184847282825,1.2395874652915508,1.0412534708449028,0.14875049583498612,0.19833399444664812,76.95358984529949,50.37683458944863,45.76556921856406,11.949623165410552
Malvern,123,132,279,35,65,64,8,4,10,293,107,43794,4948,7910,6620,5890,15.4,770,26900,245,39195,17465,3275,8295,4830,365,200,650,75,30,4580,10.5,22780,15080,26525,18.061834954559984,15.116225967027447,13.4493309585788,1.7582317212403527,61.42393935242271,0.559437365849203,89.49856144677352,39.879892222678905,7.478193359820979,18.94095081518016,11.028908069598575,0.8334475042243229,0.45668356395853316,1.4842215828652325,0.17125633648444993,0.06850253459377997,10.458053614650408,52.01625793487692,34.4339407224734,60.56765767000045
Maple Leaf,125,029,44,15,18,8,0,0,0,44,23,10111,4012,1500,1265,2030,11.8,645,5245,25,4300,985,140,790,1200,35,270,10,45,20,5565,8.1,5270,3055,2670,14.835327860745723,12.511126495895558,20.077143704875876,6.3791909801206605,51.87419641974088,0.24725546434576207,42.52793986747107,9.741865295223025,1.3846306003362674,7.81327267332608,11.868262288596577,0.34615765008406685,2.6703590149342302,0.09890218573830481,0.44505983582237163,0.19780437147660962,55.03906636336663,52.12145188408663,30.21461774305212,26.406883592127382
Markland Wood,126,012,25,13,19,10,2,0,0,25,25,10554,3614,1340,1165,2705,6.4,135,3890,60,1395,230,260,180,100,45,50,50,245,40,9060,6.2,5625,5375,975,12.69660792116733,11.03846882698503,25.63009285578927,1.2791358726549176,36.858063293537995,0.5685048322910745,13.21773735076748,2.1792685237824525,2.4635209399279896,1.7055144968732234,0.9475080538184575,0.42637862421830586,0.47375402690922874,0.47375402690922874,2.3213947318552206,0.37900322152738297,85.84422967595225,53.29732802728822,50.92855789274209,9.23820352472996
Milliken,135,130,91,35,67,42,10,0,1,92,87,26572,2830,3675,3195,5115,21.2,35,18265,10,25165,3080,18715,1070,1015,165,240,130,0,35,900,9.5,13725,8330,23215,13.830347734457323,12.023934969140448,19.249586030407947,0.13171759747102213,68.73776908023484,0.03763359927743489,94.70495258166491,11.591148577449948,70.43128104771941,4.026795122685534,3.8198103266596415,0.6209543880776758,0.9032063826584373,0.4892367906066536,0,0.13171759747102213,3.3870239349691404,51.65211500827939,31.348788198103268,87.3664007225651
Mimico (includes Humber Bay Shores),140,017,242,34,49,11,17,1,1,244,62,33964,4915,3505,3010,5160,15.6,985,13425,370,10395,1865,1635,1730,1145,340,405,335,515,200,22915,6.2,17445,18435,6100,10.319750323872336,8.862324814509481,15.192556824873396,2.900129548934166,39.527146390295606,1.089388764574255,30.60593569661995,5.4911082322459075,4.8139206218348845,5.09362854787422,3.3712165822635733,1.0010599458249911,1.192439053115063,0.9863384760334472,1.5163113885290307,0.5888587916617595,67.4684960546461,51.36320810269698,54.278059121422686,17.960193145683665
Morningside,130,135,164,14,19,10,0,0,1,165,24,17455,3041,2880,2690,2695,19.1,345,9495,120,12865,5155,880,3065,1865,135,210,270,65,65,4290,11.4,8990,6690,8510,16.49957032368949,15.41105700372386,15.439702091091378,1.9765110283586365,54.397020910913774,0.6874820968203953,73.70380979661988,29.533085075909483,5.0415353766829,17.559438556287596,10.684617588083643,0.7734173589229447,1.2030936694356917,1.5468347178458894,0.3723861357777141,0.3723861357777141,24.577484961329134,51.50386708679462,38.32712689773704,48.753938699513036
Moss Park,131,073,457,16,129,119,11,3,8,468,146,20506,14753,1540,2060,1900,29.7,395,6470,370,7860,1315,1435,2590,425,260,340,280,175,105,10595,6.9,8855,11400,4075,7.509997074027114,10.045840241880425,9.265580805617867,1.9262654832731885,31.551740953867164,1.8043499463571637,38.33024480639813,6.412757241782893,6.9979518189798116,12.630449624500145,2.072564127572418,1.2679215839266555,1.6580513020579342,1.3654540134594753,0.8534087584121721,0.5120452550473031,51.66780454501122,43.182483175655904,55.59348483370721,19.872232517312007
Mount Dennis,63,115,110,18,31,34,0,0,3,113,52,13593,6442,2395,1815,1685,21.2,1380,7430,125,9005,510,310,4360,860,75,655,95,155,45,4255,10.8,7175,3980,2630,17.619362907378797,13.35246082542485,12.396086220848966,10.152284263959391,54.66048701537556,0.9195909659383507,66.24733318619877,3.751931141028471,2.2805855955271093,32.07533289192967,6.326785845655852,0.5517545795630104,4.8186566615169575,0.6988891341131465,1.1402927977635546,0.33105274773780624,31.302876480541453,52.78452144486132,29.279776355477082,19.348193923342897
Mount Olive-Silverstone-Jamestown,99,002,271,42,34,110,4,1,6,278,156,32954,7291,7090,5240,3560,21.8,1085,21500,205,28455,11095,285,8390,815,2650,590,1415,70,10,4375,12.1,16925,8850,14280,21.514838866298476,15.900952843357407,10.802937427929841,3.2924682891303028,65.24245918553135,0.6220792620015779,86.34763609880439,33.66814347271955,0.8648419008314621,25.459731747284092,2.473144383079444,8.04151241123991,1.7903744613703951,4.293864174303574,0.21241730897614855,0.030345329853735514,13.276081811009286,51.35947077744735,26.855616920555924,43.33313103113431
Mount Pleasant East,101,099,22,8,15,3,1,0,0,22,12,16775,5411,2980,1705,2455,9.2,285,4510,115,3825,680,990,470,405,60,50,245,240,145,12930,6.9,8980,10160,2755,17.764530551415795,10.163934426229508,14.634873323397912,1.698956780923994,26.885245901639344,0.6855439642324889,22.801788375558868,4.053651266766021,5.901639344262295,2.8017883755588677,2.4143070044709387,0.35767511177347244,0.29806259314456035,1.460506706408346,1.4307004470938898,0.8643815201192251,77.07898658718331,53.53204172876303,60.56631892697466,16.423248882265277
Mount Pleasant West,102,104,110,4,40,14,6,1,1,112,24,29658,21969,2380,2520,4605,18.6,950,11295,225,9730,1895,1515,1185,1055,410,115,1125,745,240,19200,6.7,16275,19855,6690,8.024816238451681,8.496864252478252,15.527007889945377,3.2031829523231505,38.08415941735788,0.7586485939712725,32.807336974846585,6.389507047002494,5.108233866073235,3.9955492615820356,3.5572189628430775,1.3824263267920966,0.3877537258075393,3.7932429698563626,2.511969788927102,0.8092251669026906,64.73801335221525,54.87558163058871,66.94652370355385,22.557151527412504
New Toronto,106,018,98,10,42,20,5,1,1,100,35,11463,3342,1610,1390,1525,21.6,290,3970,210,3615,590,340,1250,405,95,105,30,50,65,7675,8.7,5750,5100,1585,14.045188868533543,12.125970513827095,13.303672686033325,2.529878740294862,34.633167582657244,1.8319811567652449,31.53624705574457,5.146994678530926,2.9660647300008725,10.904649742650266,3.5331065166186866,0.8287533804414202,0.9159905783826224,0.26171159382360637,0.4361859897060107,0.5670417866178138,66.95454941987263,50.16138881619122,44.490970950013086,13.827095873680536
Newtonbrook East,134,050,91,6,42,10,5,1,1,93,21,16097,3926,1585,2185,3320,24.9,165,9945,45,11215,745,4830,205,465,150,110,2320,1920,70,4320,8.8,8500,9065,10460,9.846555258743866,13.573957880350376,20.624961172889357,1.0250357209417904,61.78169845312791,0.2795551966204883,69.67136733552836,4.62819158849475,30.00559110393241,1.273529229048891,2.8887370317450456,0.9318506554016276,0.6833571472945269,14.412623470211841,11.927688389140833,0.43486363918742627,26.83729887556688,52.8048704727589,56.3148412747717,64.98105237000684
Newtonbrook West,67,036,156,47,54,16,6,0,1,157,69,23831,5070,2810,3325,4165,23.2,360,15665,65,13825,1025,2650,485,4355,105,185,1875,2210,100,9805,8.4,12580,11875,12400,11.79136418950107,13.95241492174059,17.477235533548736,1.5106374050606353,65.73370819520792,0.2727539759137258,58.01267256934245,4.301120389408753,11.119969787251899,2.0351642818178006,18.27451638621963,0.44060257647601864,0.7762997776006042,7.867903151357475,9.273635181066679,0.419621501405732,41.143888212832024,52.788384876841086,49.830053291930675,52.03306617431077
Niagara,68,082,214,18,70,9,17,1,4,219,44,31180,10156,2055,2415,1510,13.3,1005,8995,300,10665,2210,2260,1635,780,490,365,365,475,180,19765,4.5,15785,22575,6635,6.590763309813983,7.7453495830660675,4.842847979474022,3.2232200128287363,28.848620910840282,0.9621552277100706,34.20461834509301,7.087876844130853,7.248236048749199,5.2437459910198845,2.5016035920461834,1.5715202052597819,1.1706221937139192,1.1706221937139192,1.5234124438742784,0.5772931366260423,63.38999358563181,50.62540089801154,72.40218088518282,21.279666452854393
North Riverdale,32,068,48,5,41,34,6,1,2,51,45,11916,6770,1960,1170,1660,10.4,130,2925,100,2815,405,1230,330,135,10,105,30,25,140,8875,5.3,6095,6600,2070,16.44847264182612,9.818731117824774,13.930849278281302,1.0909701242027525,24.546827794561935,0.8392077878482713,23.623699227928835,3.3987915407854987,10.322255790533736,2.769385699899295,1.1329305135951662,0.08392077878482712,0.8811681772406849,0.25176233635448136,0.20980194696206783,1.1748909029875798,74.47969117153407,51.14971466935213,55.3877139979859,17.371601208459214
North St.James Town,73,074,139,16,53,23,8,0,2,141,47,18615,44321,2290,2265,1740,33.1,615,9485,195,12270,3770,890,2115,2800,395,270,380,325,85,6075,10.4,8745,9590,8520,12.301907064195541,12.167606768734892,9.347300564061241,3.30378726833199,50.95353209777061,1.04754230459307,65.91458501208703,20.252484555466022,4.78109051839914,11.36180499597099,15.041633091592802,2.12194466827827,1.4504431909750202,2.0413644910018802,1.7459038409884502,0.45662100456621,32.634971796937954,46.97824335213537,51.517593338705346,45.76954069298952
O'Connor-Parkview,49,054,134,7,34,28,6,1,5,140,41,18675,3780,3110,2385,2690,19.9,340,6890,380,6975,1730,635,1865,1120,155,100,435,100,145,11520,10.1,9630,7410,4265,16.653279785809907,12.771084337349398,14.404283801874163,1.820615796519411,36.8942436412316,2.034805890227577,37.34939759036144,9.2637215528781791,3.4002677376171353,9.98661311914324,5.997322623828648,0.8299866131191432,0.535475234270415,2.3293172690763053,0.535475234270415,0.7764390896921017,61.686746987951814,51.566265060240966,39.678714859437754,22.8380187416332
Oakridge,74,121,141,10,58,30,10,0,3,144,50,13845,7444,2865,1680,1655,35,145,7520,235,10250,4800,705,2500,675,125,125,600,30,25,3365,14.6,7060,4995,6960,20.693391115926328,12.134344528710725,11.953773925604912,1.0473094980137234,54.315637414228966,1.6973636691946552,74.03394727338389,34.66955579631636,5.092091007583965,18.057060310581438,4.8754062838569885,0.9028530155290719,0.9028530155290719,4.333694474539545,0.21668472372697722,0.18057060310581438,24.304803178042615,50.99313831708198,36.07800650054171,50.27085590465872
Oakwood Village,76,107,136,24,23,31,2,0,11,147,57,21210,9511,3130,2275,3700,16.3,1325,9965,255,9045,625,880,2720,1910,110,385,145,120,125,11910,6.8,11095,8295,4190,14.757190004714756,10.726072607260726,17.444601603017446,6.2470532767562466,46.98255539839698,1.2022630834512023,42.64497878359265,2.9467232437529467,4.148986327204149,12.824139556812824,9.005186232909006,0.5186232909005186,1.8151815181518154,0.6836397925506836,0.5657708628005658,0.5893446487505893,56.15275813295615,52.310231023102304,39.10891089108911,19.754832626119757
