neighbourhood,OBJECTID,Hood_ID,assault,auto_theft,break_and_enter,robbery,theft_over,homicide,shooting,violent_crime,theft,pop,pop_density,n_children,n_youth,n_seniors,perc_low_income,n_lat_american,Immigrants,n_aboriginal_identity,n_visible_minority,south_asian,Chinese,Black,Filipino,Arab,southeast_asian,west_asian,Korean,Japanese,not_visible_minority,unemp_rate,n_female,n_postsecondary,n_asian,perc_children,perc_youth,perc_seniors,perc_lat_american,perc_immigrants,perc_aboriginal,perc_visible_minority,perc_south_asian,perc_chinese,perc_black,perc_Filipino,perc_Arab,perc_southeast_asian,perc_west_asian,perc_Korean,perc_Japanese,perc_not_visible_minority,perc_female,perc_postsecondary,perc_asian
Beechborough-Greenbrook,69,112,62,9,11,18,4,0,0,62,31,6577,3614,1120,855,965,21.9,335,3425,85,3760,330,110,2070,395,70,215,10,15,0,2610,11.4,3465,1660,1075,17.029040596016422,12.999847954994678,14.672343013532005,5.093507678272768,52.0754143226395,1.292382545233389,57.16892200091227,5.017485175611982,1.672495058537327,31.473316101566063,6.00577771020222,1.0643150372510264,3.268967614413867,0.1520450053215752,0.2280675079823628,0,39.68374638893113,52.6835943439258,25.239470883381482,16.344838072069333
Bendale,89,127,254,47,58,63,12,3,5,262,122,29960,4011,4550,4605,5250,19.4,530,15865,140,21075,8305,4400,1910,2885,335,310,815,205,155,8020,8.8,15590,11245,17075,15.186915887850466,15.37049399198932,17.523364485981308,1.7690253671562084,52.953938584779706,0.46728971962616817,70.3437917222964,27.72029372496662,14.686248331108146,6.375166889185581,9.629506008010681,1.1181575433911883,1.034712950600801,2.720293724966622,0.6842456608811749,0.5173564753004005,26.769025367156207,52.03604806408545,37.533377837116156,56.99265687583445
Birchcliffe-Cliffside,90,122,198,15,76,22,6,0,0,198,43,22291,3765,3345,2440,3910,12.9,225,6080,400,5740,1405,1190,890,830,105,265,95,30,195,15940,8.8,11570,9265,4010,15.006056255888026,10.946121753173927,17.540711497913954,1.0093759813377596,27.275582073482575,1.794446189044906,25.750302812794402,6.302992239020232,5.338477412408595,3.992642770624916,3.7234758422681797,0.4710421246242878,1.1888206002422501,0.42618096989816523,0.13458346417836795,0.8747925171593917,71.5086806334395,51.904356018123906,41.56385985375264,17.989323045175183
Black Creek,95,024,276,51,27,43,8,1,16,293,102,21737,6282,4600,3290,2870,25.9,1780,12705,195,17435,2110,765,6315,920,705,2595,620,40,30,4125,12.7,11610,4265,7080,21.162073883240556,15.13548327736118,13.203293922804434,8.18880250264526,58.44872797534158,0.8970879146156322,80.2088604683259,9.70695128122556,3.5193448957997884,29.05184708101394,4.2324147766481115,3.243317845148824,11.938169940654184,2.8522795233932925,0.1840180337673092,0.1380135253254819,18.97685973225376,53.411234300961496,19.620922850439342,32.57119197681373
Blake-Jones,103,069,60,4,23,10,0,1,4,65,14,7727,8134,1405,885,895,21.1,80,2420,240,2960,445,950,950,55,45,90,145,15,35,4725,8.5,3975,3480,1735,18.182994693930375,11.453345412191018,11.58276174453216,1.0353306587291315,31.31875242655623,3.105991976187395,38.307234372977874,5.759026789180795,12.294551572408437,12.294551572408437,0.711789827876278,0.5823734955351365,1.164746991070273,1.876536818946551,0.19412449851171218,0.45295716319399504,61.14921703118934,51.44299210560372,45.03688365471722,22.453733661188043
Briar Hill-Belgravia,139,108,80,19,31,27,4,0,1,81,50,14257,7791,1855,1655,2100,14.8,920,8555,135,6500,410,260,1170,3035,45,170,40,130,70,7710,8.7,7635,6030,4115,13.011152416356877,11.608332748825138,14.729606509083256,6.452970470645998,60.00561127867012,0.9469032755839237,45.591639194781514,2.8757803184400648,1.8236655677912605,8.206495055060673,21.287788454794136,0.31563442519464124,1.192396717401978,0.2805639335063478,0.9118327838956303,0.4909868836361086,54.07869818334853,53.55264080802413,42.29501297608193,28.863014659465524
Bridle Path-Sunnybrook-York Mills,117,041,18,11,50,2,5,0,0,18,18,9266,1040,1435,1425,1785,8.4,65,3150,10,2765,375,1410,115,50,40,45,325,185,55,6415,8,4810,5525,2445,15.486725663716813,15.378804230520181,19.263975825598965,0.7014893157781136,33.99525145693934,0.10792143319663286,29.840276278868984,4.047053744873732,15.216922080725231,1.2410964817612777,0.5396071659831643,0.43168573278653144,0.4856464493848478,3.5074465788905678,1.996546514137708,0.5935678825814807,69.23159939563998,51.91020936758041,59.62659184113966,26.386790416576734
Broadview North,30,057,46,7,16,11,2,0,1,47,20,11499,6764,1470,1040,1865,18.5,250,4790,150,3135,630,470,565,500,125,85,140,70,70,8200,8.2,6055,5440,1965,12.783720323506392,9.044264718671188,16.218801634924777,2.1741020958344204,41.6557961561875,1.3044612575006522,27.263240281763636,5.478737281502739,4.087311940168711,4.91347073658579,4.348204191668841,1.0870510479172102,0.739194712583703,1.2174971736672753,0.6087485868336376,0.6087485868336376,71.31054874336898,52.65675276110966,47.30846160535699,17.088442473258546
Brookhaven-Amesbury,121,030,108,30,31,29,1,0,3,111,60,17757,5045,3360,2460,2130,19.3,1880,9725,110,11630,1190,450,4770,1250,50,1095,130,50,10,6075,10,9525,4885,4175,18.922115222165907,13.853691501942897,11.995269471194458,10.587373993354733,54.76713408796531,0.6194740102494791,65.49529762910402,6.7015824745170915,2.5342118601115056,26.862645717181955,7.039477389198626,0.281579095567945,6.166582192937996,0.732105648476657,0.281579095567945,0.05631581911358901,34.211860111505324,53.640817705693536,27.510277636988228,23.51185447992341
Cabbagetown-South St.James Town,100,071,137,9,51,25,7,0,0,137,41,11669,8335,800,1035,2250,20.2,260,3770,220,3170,525,720,510,485,110,125,50,95,35,7815,8,5080,7030,2035,6.855771702802296,8.869654640500471,19.281857914131457,2.2281258034107463,32.30782414945582,1.8853372182706316,27.1659953723541,4.499100179964008,6.170194532522067,4.370554460536464,4.156311594823892,0.9426686091353158,1.0712143285628588,0.4284857314251435,0.8141228897077727,0.2999400119976005,66.97231982174993,43.53415031279459,60.24509383837518,17.43936926900334
